player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,pulled_meta
5670,Bijan Robinson,RB,ATL,1.7,1.02,1167,1,4,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5672,Jahmyr Gibbs,RB,DET,1.8,1.02,1370,1,4,0.7,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5714,Puka Nacua,WR,LAR,3.1,1.03,234,1,5,0.7,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5177,Ja'Marr Chase,WR,CIN,3.9,1.04,1629,1,8,1.0,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5671,Jaxon Smith-Njigba,WR,SEA,5.4,1.05,803,2,9,1.1,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5182,Amon-Ra St. Brown,WR,DET,6.4,1.06,933,3,11,1.3,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
2434,Christian McCaffrey,RB,SF,6.5,1.06,1268,2,13,1.6,8,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
4864,Jonathan Taylor,RB,IND,7.4,1.07,1425,2,12,1.8,13,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5683,De'Von Achane,RB,MIA,10.2,1.10,690,5,18,1.9,6,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
5574,Drake London,WR,ATL,10.2,1.10,244,6,16,1.6,11,"{""type"": ""PPR"", ""teams"": 12, ""rounds"": 15, ""total_drafts"": 6809, ""start_date"": ""2026-08-11"", ""end_date"": ""2026-08-18""}"
