chase,frame,baseline,pos,band,n_seasons,mean,se,t,p,mde,seasons_positive,k,hist_median,hist_min,hist_max,adp_2026,seasons_cheaper_than_2026
1_disjoint_bands,10.0,R_exp,TE,1-3,10.0,12.29100351188777,7.668393691352851,1.6028133148337878,0.14343949907544595,21.48683912317069,6.0,,,,,,
1_disjoint_bands,10.0,R_exp,TE,4-6,10.0,8.84672918367001,10.801582241122961,0.819021601297393,0.4339250794273726,30.26603343962654,5.0,,,,,,
1_disjoint_bands,10.0,R_exp,TE,7-12,10.0,15.332945869883762,11.21012150120528,1.3677769565865283,0.20455987758261807,31.410760446377196,6.0,,,,,,
1_disjoint_bands,10.0,R_exp,TE,13+,10.0,30.953371547751203,4.3184890826632,7.16763918010471,5.264548271655123e-05,12.100406409622288,10.0,,,,,,
1_disjoint_bands,10.0,R_exp,QB,1-3,10.0,9.204031267685618,19.2398067023756,0.4783848096846611,0.6437831938987104,53.90993838005643,8.0,,,,,,
1_disjoint_bands,10.0,R_exp,QB,4-6,10.0,34.03511383491055,16.32545198093204,2.084788456372492,0.06674503456918912,45.743916450571575,7.0,,,,,,
1_disjoint_bands,10.0,R_exp,QB,7-12,10.0,11.496839927936888,16.191851618326513,0.7100386168882844,0.49566457930664054,45.36956823455089,6.0,,,,,,
1_disjoint_bands,10.0,R_exp,QB,13+,10.0,5.952525319871705,10.115272326580936,0.5884691116253633,0.5706884009486126,28.34299305907978,6.0,,,,,,
1_disjoint_bands,10.0,R_real,TE,1-3,10.0,18.131494444444446,8.349841030850168,2.1714778014879554,0.05797378088384475,23.39625456844217,8.0,,,,,,
1_disjoint_bands,10.0,R_real,TE,4-6,10.0,14.683694853294856,10.671469510983506,1.375976836009493,0.2020974176156607,29.901457569775786,7.0,,,,,,
1_disjoint_bands,10.0,R_real,TE,7-12,10.0,21.08193347763348,9.623383337795442,2.190698711422526,0.05618621992654127,26.964720112502828,8.0,,,,,,
1_disjoint_bands,10.0,R_real,TE,13+,10.0,36.878014854556824,5.063081574892273,7.283709398923022,4.644997413927321e-05,14.186754572848148,10.0,,,,,,
1_disjoint_bands,10.0,R_real,QB,1-3,10.0,-4.462579797979798,20.339810538516844,-0.21940124710253098,0.8312326646797039,56.9921491289242,7.0,,,,,,
1_disjoint_bands,10.0,R_real,QB,4-6,10.0,20.108518975468975,11.57295134305929,1.7375445881856895,0.11629904382808309,32.42740966325213,7.0,,,,,,
1_disjoint_bands,10.0,R_real,QB,7-12,10.0,-2.297685834535827,13.077725189186669,-0.1756946105914254,0.8644233702974728,36.64378598010105,5.0,,,,,,
1_disjoint_bands,10.0,R_real,QB,13+,10.0,-7.501723880437716,8.943101976031773,-0.8388279481261574,0.4232850197208238,25.058571736841028,4.0,,,,,,
1_disjoint_bands,10.0,R_week,TE,1-3,10.0,-10.50829641284641,7.984068756066369,-1.3161580559864428,0.22065416299869178,22.371360654497966,2.0,,,,,,
1_disjoint_bands,10.0,R_week,TE,4-6,10.0,-14.050371524771524,11.253963368740417,-1.2484820737730988,0.24335384093935764,31.533605359210647,3.0,,,,,,
1_disjoint_bands,10.0,R_week,TE,7-12,10.0,-7.641880651755645,8.595847399417293,-0.8890200461531789,0.3971314117247968,24.085564413167255,4.0,,,,,,
1_disjoint_bands,10.0,R_week,TE,13+,10.0,8.154635099952964,4.97808650052734,1.6381063485114462,0.13582389374531578,13.948598374477607,6.0,,,,,,
1_disjoint_bands,10.0,R_week,QB,1-3,10.0,-33.088824747474746,19.73331099342612,-1.6768004496811424,0.12789638261456027,55.292737403579984,3.0,,,,,,
1_disjoint_bands,10.0,R_week,QB,4-6,10.0,-8.550850312650306,14.978424787550056,-0.5708778081763113,0.5820541687537815,41.969546254715254,6.0,,,,,,
1_disjoint_bands,10.0,R_week,QB,7-12,10.0,-30.862268013468007,13.077849775168685,-2.3598885553852393,0.042609149345449904,36.64413507002266,2.0,,,,,,
1_disjoint_bands,10.0,R_week,QB,13+,10.0,-36.19899180962762,7.643043123983611,-4.7362014347448085,0.0010645904515445004,21.41580683340208,1.0,,,,,,
1_disjoint_bands,12.0,R_exp,TE,1-3,10.0,5.542192922203438,7.4664273003615405,0.7422817767120123,0.4768413932840634,20.920929295613035,4.0,,,,,,
1_disjoint_bands,12.0,R_exp,TE,4-6,10.0,1.7652259838720084,10.551409496237023,0.1672976472481279,0.8708345381977147,29.565049408456137,5.0,,,,,,
1_disjoint_bands,12.0,R_exp,TE,7-12,10.0,8.065162295466767,10.307948710971166,0.7824216555213055,0.45405969537100477,28.882872288141208,6.0,,,,,,
1_disjoint_bands,12.0,R_exp,TE,13+,10.0,24.01080423142996,4.341657377576848,5.530331424915615,0.0003655769952897181,12.165323971970327,10.0,,,,,,
1_disjoint_bands,12.0,R_exp,QB,1-3,10.0,3.838109271305849,18.97141338194399,0.20231013862988,0.8441735750791435,53.15790029620706,6.0,,,,,,
1_disjoint_bands,12.0,R_exp,QB,4-6,10.0,29.341719652682933,15.46134024410113,1.8977474908022607,0.0902123849856522,43.32267536397137,7.0,,,,,,
1_disjoint_bands,12.0,R_exp,QB,7-12,10.0,6.168316170315508,14.991992124711315,0.4114407290908502,0.6903745687178069,42.0075619334411,5.0,,,,,,
1_disjoint_bands,12.0,R_exp,QB,13+,10.0,0.79654925465356,9.667207625728993,0.08239703598933441,0.9361344356289178,27.08751576729264,6.0,,,,,,
1_disjoint_bands,12.0,R_real,TE,1-3,10.0,12.023653159803157,9.41597264950918,1.2769422350042514,0.23358211201429313,26.383555363924724,5.0,,,,,,
