rank,name,team,position,adp,adp_rank,adp_rank_overall,edge,adp_espn,adp_ffc_equiv_espn,adp_price_used,tier,n_seasons,n_games,mu_hat,n_eff,pi_market,tau2,sigma2_tier,V,B,theta_star,age_2026,mu_star_z,mu_star,theta_star_mu_star,theta_used,proj,w_market,w_history,w_projection,post_var,arm,value_prior,view_shift_player,value_post_views,struct_shift,value_ranked,post_SD_bl,replacement,vorp,sched,avail,floor_p25,bust_sched,usable,floor_ref,floor_ref_positional,floor_ref_source,floor_gap,final,thin_data_flag,from_v01_judkins,from_v03_jt,from_v04_cmc,from_v05_lamb,from_v06_pickens,from_v07_jsn,from_v08_arsb,from_v09_barkley,from_v10_rice,from_v12_skattebo,from_v13_javonte,from_v17_djmoore,from_v18_egbuka,from_v20_gibbs,from_v23_pierce,from_v15_achane,from_v24_love,from_v25_montgomery,from_v26_sutton,from_v28_tmac,from_v19_odunze,from_v27_burden,from_v29_johnston,from_v30_hampton,from_v32_cook,from_v14_devonta,from_v21_walker,from_v33_nacua,from_v34_jeanty,from_v35_etienne,from_v36_metcalf,from_v37_mcconkey,from_v16_evans,from_v31_london,from_v22_jacobs,from_v38_hall,from_v39_nabers,from_s01_delta_rb,k,exp_pick,board_slot,board_rank
11,Omarion Hampton,LAC,RB,19.8,11,20,9,22.08,21.077558739681457,19.8,soph,1,9.0,15.077777777777776,1.0,14.434106455309395,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,14.6021971609676,23.463381245722108,0.05168311527354,14.869249338015592,14.547741274297035,14.547741274297035,,,,,11.442449765890135,theta_star,14.547741274297035,1.4018069805623732,15.949548254859408,1.4,17.349548254859407,1.0696938705017496,7.4745791409013185,9.874969113958088,18.0,0.5,0.0,0.6111111111111112,False,6.075,6.0,top70,0.0,9.874969113958088,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.4018069805623723,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,omarion hampton,10.0,11.0,11
12,Travis Etienne Jr.,NO,RB,37.1,19,39,27,50.15,49.702296406664395,37.1,vet,4,66.0,13.299372549019608,2.6470588235294117,13.416324058711414,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,13.364914045332718,27.59753593429158,-0.0831485526709017,11.486699965824352,12.56809216591584,12.56809216591584,,,,,6.582947187996207,theta_star,12.56809216591584,3.0655262672673267,15.633618433183166,1.4,17.033618433183165,0.8113536336269288,7.4745791409013185,9.559039292281843,54.0,0.907,6.325,0.3148148148148148,True,6.075,6.0,top70,0.25,9.584039292281846,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.065526267267327,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,travis etienne,34.0,12.0,12
13,Saquon Barkley,PHI,RB,18.7,10,19,6,17.01,14.332959804660137,18.7,vet,8,106.0,16.696799719887956,2.9766536964980546,15.48991409805029,11.74653700580229,39.64076972639763,13.317225908083907,0.5313338605156411,16.05554052323613,29.557837097878167,-0.0999775118012306,13.347552974729462,14.485861981002143,14.485861981002143,,,,,6.241332854982771,theta_star,14.485861981002143,0.7520690094989266,15.23793099050107,1.4,16.63793099050107,1.2491329848121426,7.4745791409013185,9.16335184959975,54.0,0.852,7.175,0.2777777777777778,True,6.075,6.0,top70,1.0999999999999996,9.273351849599749,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.7520690094989284,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,saquon barkley,16.0,13.0,13
14,Rashee Rice,KC,WR,11.4,7,12,-2,22.61,21.077558739681457,11.4,vet,3,27.0,18.79970238095238,2.3333333333333335,16.94065359477124,10.782394134943546,43.140579588937385,18.48881982383031,0.6316382999991158,17.625455966033506,26.360027378507873,-0.0255448980221359,16.72278274187241,16.860398317016788,16.860398317016788,,,,,6.810573101316178,theta_star,16.860398317016788,0.6398008414916063,17.500199158508394,0.0,17.500199158508394,1.3048537371403144,7.920755406757527,9.579443751750867,48.0,0.583,0.0,0.5,True,4.65,4.6875,top70,-4.65,9.114443751750867,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.6398008414916063,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,rashee rice,27.0,14.0,14
15,Derrick Henry,BAL,RB,16.1,9,17,2,20.91,21.077558739681457,16.1,vet,10,152.0,17.48787907538382,2.994146341463414,15.48991409805029,11.74653700580229,39.64076972639763,13.239422929148768,0.5298744960616499,16.42920838987039,32.6570841889117,-0.1019318701022357,13.81378077550762,14.701921075122057,14.701921075122057,,,,,6.224190376419011,theta_star,14.701921075122057,-1.7763568394002505e-15,14.701921075122051,1.4,16.101921075122053,1.764113144956838,7.4745791409013185,8.627341934220734,54.0,0.944,10.125,0.2037037037037037,True,6.075,6.0,top70,4.05,9.032341934220732,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,derrick henry,20.0,15.0,15
16,CeeDee Lamb,DAL,WR,11.3,6,11,-5,10.59,11.220683505587504,11.3,vet,6,93.0,17.72019257703081,2.9076923076923076,17.439970562535834,10.782394134943546,43.140579588937385,14.836707266036669,0.579126763028035,17.55790850884714,27.40041067761807,-0.0465962588049456,15.709106812150624,16.711496333153775,16.711496333153775,,,,,6.244373013062324,theta_star,16.711496333153775,-0.3557481665768875,16.355748166576888,0.0,16.355748166576888,1.2494371745972588,7.920755406757527,8.43499275981936,54.0,0.833,9.075,0.2037037037037037,True,4.65,4.6875,top70,4.424999999999999,8.877492759819361,,0.0,0.0,0.0,-0.3557481665768875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,ceedee lamb,12.0,16.0,16
17,Chase Brown,CIN,RB,12.2,6,13,-4,26.14,21.905821305289543,12.2,vet,3,40.0,15.10171068427371,2.3333333333333335,16.783941579810566,11.74653700580229,39.64076972639763,16.988901311313267,0.5912177543223429,16.096275456584674,26.4476386036961,-0.0498583836892742,13.181766249608296,15.311436259005829,15.311436259005829,,,,,6.94476122963473,theta_star,15.311436259005829,1.7763568394002505e-15,15.311436259005829,1.4,16.71143625900583,1.8634324819583257,7.4745791409013185,9.23685711810451,54.0,0.833,1.45,0.4259259259259259,True,6.075,6.0,top70,-4.625,8.77435711810451,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,chase brown,11.0,17.0,17
18,Kenneth Walker,KC,RB,26.5,14,26,8,24.82,21.905821305289543,26.5,vet,4,58.0,13.08556387403446,2.6470588235294117,14.434106455309395,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,13.84130870239638,25.86447638603696,-0.031914617386511,12.210889828156173,13.456815979565349,13.456815979565349,,,,,6.582947187996207,theta_star,13.456815979565349,1.6465920102173277,15.103407989782676,1.4,16.503407989782676,1.2828627350574386,7.4745791409013185,9.028828848881355,54.0,0.796,3.125,0.3888888888888889,True,6.075,6.0,top70,-2.95,8.733828848881357,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6465920102173257,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,kenneth walker,14.0,18.0,18
19,Ashton Jeanty,LV,RB,14.1,7,15,-4,17.84,14.332959804660137,14.1,soph,1,17.0,14.41764705882353,1.0,15.781450991037447,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,15.425302196857588,22.748802190280628,0.0755647268636164,14.85328276004145,15.53906571229092,15.53906571229092,,,,,11.442449765890135,theta_star,15.53906571229092,-1.1195328561454598,14.41953285614546,1.4,15.81953285614546,1.6913345149533652,7.4745791409013185,8.344953715244142,18.0,0.944,7.6,0.2777777777777778,False,6.075,6.0,top70,0.0,8.344953715244142,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.1195328561454598,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,ashton jeanty,15.0,19.0,19
20,Cam Skattebo,NYG,RB,30.6,16,32,12,42.95,33.76254598473099,30.6,soph,1,8.0,15.9625,1.0,13.416324058711414,15.4867051194987,43.81668066802514,43.81668066802514,0.7388563078845868,14.081241844794953,24.569472963723477,0.0097387801811474,14.724020194250135,13.757820655711054,13.757820655711054,,,,,11.442449765890135,theta_star,13.757820655711054,0.3310896721444738,14.088910327855528,1.4,15.488910327855528,1.6913345149533652,7.4745791409013185,8.014331186954209,18.0,0.444,0.0,0.6111111111111112,False,6.075,6.0,top70,0.0,8.014331186954209,single season,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.3310896721444729,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,cam skattebo,42.0,20.0,20
21,Drake London,ATL,WR,10.6,5,10,-11,18.86,14.332959804660137,10.6,vet,4,60.0,15.66433366013072,2.6470588235294117,17.943725961538462,10.782394134943546,43.140579588937385,16.297552289154122,0.6018310388772187,17.036142696895674,25.10609171800137,0.0305162673878233,15.037687784243868,16.786631759501933,16.786631759501933,,,,,6.489179463816703,theta_star,16.786631759501933,-0.9433158797509638,15.84331587975097,0.0,15.84331587975097,1.2736933955839511,7.920755406757527,7.922560472993443,54.0,0.833,4.575,0.3703703703703703,True,4.65,4.6875,top70,-0.0750000000000001,7.915060472993442,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.9433158797509666,-0.0,-0.0,-0.0,0.0,drake london,23.0,21.0,21
22,Jeremiyah Love,ARI,RB,25.6,13,25,3,19.34,21.077558739681457,25.6,rookie,0,0.0,,0.0,14.434106455309395,13.882089022740637,35.36523585755328,inf,1.0,14.434106455309395,21.253935660506503,0.0264382137947518,,14.434106455309395,14.434106455309395,,,,,13.882089022740637,theta_star,14.434106455309395,-0.5170532276546975,13.917053227654698,1.4,15.317053227654698,1.8629337765162663,7.4745791409013185,7.84247408675338,,,,,False,6.075,6.0,top70,0.0,7.84247408675338,no NFL rows: full shrinkage to market,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.5170532276546974,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,jeremiyah love,21.0,22.0,22
23,Kyren Williams,LAR,RB,32.2,17,33,10,42.54,33.76254598473099,32.2,vet,4,53.0,15.882892156862743,2.6470588235294117,13.416324058711414,11.74653700580229,39.64076972639763,14.975401896639104,0.5604159919425199,14.500587949443492,26.015058179329227,-0.0365129876326114,13.89828664259201,13.628187103067386,13.628187103067386,,,,,6.582947187996207,theta_star,13.628187103067386,0.0,13.628187103067386,1.4,15.028187103067388,1.814241878581272,7.4745791409013185,7.553607962166068,54.0,0.833,8.95,0.2037037037037037,True,6.075,6.0,top70,2.874999999999999,7.841107962166068,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.4,kyren williams,35.0,23.0,23
24,George Pickens,DAL,WR,21.6,11,22,-2,28.15,22.31095833317905,21.6,vet,4,64.0,14.679516806722688,2.6470588235294117,15.39774859415863,10.782394134943546,43.140579588937385,16.297552289154122,0.6018310388772187,15.111770989509903,25.49486652977413,0.0133393740530784,14.134714475310432,14.894847611194216,14.894847611194216,,,,,6.489179463816703,theta_star,14.894847611194216,0.552576194402894,15.44742380559711,0.0,15.44742380559711,1.2736933955839511,7.920755406757527,7.526668398839583,54.0,0.889,6.075,0.3518518518518518,True,4.65,4.6875,top70,1.4249999999999998,7.669168398839583,,0.0,0.0,0.0,-0.0,0.5525761944028923,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,george pickens,22.0,24.0,24
25,A.J. Brown,NE,WR,17.5,9,18,-7,27.19,21.905821305289543,17.5,vet,7,103.0,16.283783478564047,2.953488372093023,16.42261932202348,10.782394134943546,43.140579588937385,14.606652931687462,0.5753131613547278,16.36365756657404,29.17180013689254,-0.0567854016469267,14.551751227237904,15.62808626532669,15.62808626532669,,,,,6.203253256747046,theta_star,15.62808626532669,0.0,15.62808626532669,0.0,15.62808626532669,1.7611435570030975,7.920755406757527,7.707330858569163,54.0,0.833,3.875,0.3148148148148148,True,4.65,4.6875,top70,-0.7750000000000004,7.629830858569163,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,aj brown,18.0,25.0,25
26,Justin Jefferson,MIN,WR,13.3,8,14,-12,12.15,11.220683505587504,13.3,vet,6,94.0,15.596991129785248,2.9076923076923076,16.42261932202348,10.782394134943546,43.140579588937385,14.836707266036669,0.579126763028035,16.075134512220863,27.21149897330595,-0.0451064829352847,14.176179326767544,15.477152849556829,15.477152849556829,,,,,6.244373013062324,theta_star,15.477152849556829,0.0,15.477152849556829,0.0,15.477152849556829,1.766970997648564,7.920755406757527,7.5563974427993,54.0,0.815,4.7,0.3333333333333333,True,4.65,4.6875,top70,0.0499999999999998,7.5613974427993,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,justin jefferson,17.0,26.0,26
